station_id,name,station_type,latitude,longitude,address,operator,contact_email,contact_phone,status,elevation_m,total_observations,average_quality_score,created_at,updated_at
WS010,Stuttgart-Echterdingen-Central,SATELLITE,48.75125435814265,9.20484569603386,"Weather Station Stuttgart-Echterdingen, Germany",OpenWeather,weather-stuttgartechterdingen@dwd.de,+49-261-1470319,ACTIVE,455,4368,0.9595016308885698,2025-10-02T11:27:22.035576,2025-10-02T11:27:22.035577
WS011,Düsseldorf-Airport-South,MOBILE,51.240646372252165,6.839517499238493,"Weather Station Düsseldorf-Airport, Germany",OpenWeather,weather-düsseldorfairport@dwd.de,+49-314-4950069,ACTIVE,12,81514,0.8746004338941271,2025-10-02T11:27:22.035586,2025-10-02T11:27:22.035587
WS012,Hamburg-Fuhlsbüttel-Central,MOBILE,53.686603567633504,9.930563462385853,"Weather Station Hamburg-Fuhlsbüttel, Germany",Weather Underground,weather-hamburgfuhlsbüttel@dwd.de,+49-656-8503853,ACTIVE,12,57415,0.8871871869838895,2025-10-02T11:27:22.035594,2025-10-02T11:27:22.035595
WS013,Dortmund-Airport-North,AUTOMATIC,51.42096118609049,7.5489371359261055,"Weather Station Dortmund-Airport, Germany",DWD,weather-dortmundairport@dwd.de,+49-371-3016629,ACTIVE,192,85519,0.8720144483862267,2025-10-02T11:27:22.035601,2025-10-02T11:27:22.035602
WS014,Frankfurt-Main-East,MOBILE,50.13089700251555,8.559324598825597,"Weather Station Frankfurt-Main, Germany",Local Authority,weather-frankfurtmain@dwd.de,+49-736-5495322,ACTIVE,151,73978,0.8911037483837061,2025-10-02T11:27:22.035608,2025-10-02T11:27:22.035609
WS015,Frankfurt-Main-South,AUTOMATIC,50.07121433975485,8.535597292517625,"Weather Station Frankfurt-Main, Germany",Local Authority,weather-frankfurtmain@dwd.de,+49-827-8474623,MAINTENANCE,84,77516,0.9737841703025228,2025-10-02T11:27:22.035616,2025-10-02T11:27:22.035617
WS016,Dortmund-Airport-Central,SATELLITE,51.47385848930431,7.682530539438526,"Weather Station Dortmund-Airport, Germany",Local Authority,weather-dortmundairport@dwd.de,+49-190-7260840,ACTIVE,89,35222,0.8970931563024267,2025-10-02T11:27:22.035624,2025-10-02T11:27:22.035625
WS017,Berlin-Tegel-East,MANUAL,52.65415185253442,13.281855080135449,"Weather Station Berlin-Tegel, Germany",DWD,weather-berlintegel@dwd.de,+49-438-6284918,ACTIVE,128,47640,0.9387491246997016,2025-10-02T11:27:22.035631,2025-10-02T11:27:22.035633
WS018,Nuremberg-Central,MOBILE,49.5259132339522,10.990354903347427,"Weather Station Nuremberg, Germany",Local Authority,weather-nuremberg@dwd.de,+49-462-8695611,ACTIVE,382,88498,0.8717011857973936,2025-10-02T11:27:22.035661,2025-10-02T11:27:22.035664
WS019,Hamburg-Fuhlsbüttel-West,AUTOMATIC,53.699709646540484,10.057425879769474,"Weather Station Hamburg-Fuhlsbüttel, Germany",Weather Underground,weather-hamburgfuhlsbüttel@dwd.de,+49-725-4433347,ACTIVE,99,70807,0.9607251063880163,2025-10-02T11:27:22.035676,2025-10-02T11:27:22.035678
